Run,AlignedSum,AlignedTime,UnalignedSum,UnalignedTime
1,499890,0.00115179,499889,0.0009
2,499890,0.00126388,499889,0.00109588
3,499890,0.00103471,499889,0.00103317
4,499890,0.000920708,499889,0.00100458
5,499890,0.00103667,499889,0.00103642
6,499890,0.000942375,499889,0.000883292
7,499890,0.000883791,499889,0.00088075
8,499890,0.000881166,499889,0.000881209
9,499890,0.000881125,499889,0.000991542
10,499890,0.000821625,499889,0.000770333
11,499890,0.000789584,499889,0.000806208
12,499890,0.0007945,499889,0.000799417
13,499890,0.000818,499889,0.0007655
14,499890,0.00077575,499889,0.000740708
15,499890,0.000687417,499889,0.000679542
16,499890,0.000681666,499889,0.000679584
17,499890,0.000679458,499889,0.000679292
18,499890,0.000680041,499889,0.00068025
19,499890,0.000679416,499889,0.000679292
20,499890,0.000679666,499889,0.000640875
21,499890,0.000625542,499889,0.000626791
22,499890,0.000625667,499889,0.00062575
23,499890,0.000625375,499889,0.000626416
24,499890,0.000625208,499889,0.000625083
25,499890,0.000612209,499889,0.000584208
26,499890,0.00058425,499889,0.0005845
27,499890,0.000584417,499889,0.000584375
28,499890,0.000584458,499889,0.000584833
29,499890,0.000584333,499889,0.000584333
30,499890,0.000584667,499889,0.000584208
31,499890,0.000584291,499889,0.000586167
32,499890,0.000561667,499889,0.000550917
33,499890,0.000553792,499889,0.000553541
34,499890,0.000552584,499889,0.000551958
35,499890,0.000550917,499889,0.000550875
36,499890,0.000551208,499889,0.000553
37,499890,0.000540167,499889,0.000523166
38,499890,0.000523083,499889,0.000523208
39,499890,0.000523084,499889,0.000523083
40,499890,0.000523083,499889,0.0005235
41,499890,0.000524375,499889,0.000527916
42,499890,0.000525375,499889,0.000515291
43,499890,0.000503542,499889,0.000503958
44,499890,0.000502875,499889,0.000509875
45,499890,0.000504041,499889,0.000503667
46,499890,0.000503708,499889,0.000503959
47,499890,0.000503833,499889,0.0005025
48,499890,0.000503041,499889,0.000490375
49,499890,0.000486375,499889,0.000485208
50,499890,0.000486083,499889,0.000488958
51,499890,0.000487291,499889,0.000491542
52,499890,0.000489083,499889,0.000488459
53,499890,0.000489333,499889,0.000490167
54,499890,0.000493375,499889,0.000485833
55,499890,0.000472292,499889,0.000469041
56,499890,0.000469,499889,0.000469042
57,499890,0.000468792,499889,0.0004685
58,499890,0.000468375,499889,0.000469042
59,499890,0.000470125,499889,0.000469375
60,499890,0.000492167,499889,0.000468708
61,499890,0.00046875,499889,0.000468459
62,499890,0.00047375,499889,0.000471
63,499890,0.000571458,499889,0.000451709
64,499890,0.000455584,499889,0.000451375
65,499890,0.0004515,499889,0.000452584
66,499890,0.000528084,499889,0.000468625
67,499890,0.000469958,499889,0.000468333
68,499890,0.000469375,499889,0.00046875
69,499890,0.000508292,499889,0.000779333
70,499890,0.00103425,499889,0.00136492
71,499890,0.000919958,499889,0.000515583
72,499890,0.000469292,499889,0.000483458
73,499890,0.000446958,499889,0.000440083
74,499890,0.000455125,499889,0.000501584
75,499890,0.000591666,499889,0.000475083
76,499890,0.000488333,499889,0.000496708
77,499890,0.000473,499889,0.000479917
78,499890,0.000492083,499889,0.000474333
79,499890,0.000475167,499889,0.000482291
80,499890,0.000477792,499889,0.000472042
81,499890,0.000472083,499889,0.000471375
82,499890,0.000478792,499889,0.000476833
83,499890,0.000469542,499889,0.000469584
84,499890,0.00070075,499889,0.000504
85,499890,0.000501042,499889,0.000656208
86,499890,0.0005115,499889,0.000500208
87,499890,0.000566875,499889,0.000550833
88,499890,0.000489125,499889,0.000469125
89,499890,0.000476833,499889,0.000468875
90,499890,0.000479583,499889,0.000474875
91,499890,0.000469333,499889,0.0004685
92,499890,0.00047875,499889,0.00047175
93,499890,0.000470042,499889,0.000468084
94,499890,0.00046825,499889,0.000468333
95,499890,0.000473583,499889,0.000471375
96,499890,0.000474,499889,0.0004775
97,499890,0.000474667,499889,0.000468166
98,499890,0.000471792,499889,0.000468125
99,499890,0.000468166,499889,0.000470625
100,499890,0.000469041,499889,0.000539834
